prompt,output
"From: dougb@comm.mot.com (Doug Bank)
Subject: Re: Info needed for Cleveland tickets
Reply-To: dougb@ecs.comm.mot.com
Organization: Motorola Land Mobile Products Sector
Distribution: usa
Nntp-Posting-Host: 145.1.146.35
Lines: 17

In article <1993Apr1.234031.4950@leland.Stanford.EDU>, bohnert@leland.Stanford.EDU (matthew bohnert) writes:

|> I'm going to be in Cleveland Thursday, April 15 to Sunday, April 18.
|> Does anybody know if the Tribe will be in town on those dates, and
|> if so, who're they playing and if tickets are available?

The tribe will be in town from April 16 to the 19th.
There are ALWAYS tickets available! (Though they are playing Toronto,
and many Toronto fans make the trip to Cleveland as it is easier to
get tickets in Cleveland than in Toronto.  Either way, I seriously
doubt they will sell out until the end of the season.)

-- 
Doug Bank                       Private Systems Division
dougb@ecs.comm.mot.com          Motorola Communications Sector
dougb@nwu.edu                   Schaumburg, Illinois
dougb@casbah.acns.nwu.edu       708-576-8207",baseball
"From: gld@cunixb.cc.columbia.edu (Gary L Dare)
Subject: Re: Flames Truly Brutal in Loss
Nntp-Posting-Host: cunixb.cc.columbia.edu
Reply-To: gld@cunixb.cc.columbia.edu (Gary L Dare)
Organization: PhDs In The Hall
Distribution: na
Lines: 13


This game would have been great as part of a double-header on ABC or
ESPN; the league would have been able to push back-to-back wins by
Le Magnifique and The Great One.  Unfortunately, the only network
that would have done that was SCA, seen in few areas and hard to
justify as a pay channel. )-;

gld
--
~~~~~~~~~~~~~~~~~~~~~~~~ Je me souviens ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Gary L. Dare
> gld@columbia.EDU 			GO  Winnipeg Jets  GO!!!
> gld@cunixc.BITNET			Selanne + Domi ==> Stanley",hockey
"From: rudy@netcom.com (Rudy Wade)
Subject: Re: YANKKES 1 GAME CLOSER
Article-I.D.: netcom.rudyC52rBD.86w
Organization: Home of the Brave
Lines: 18

My god, hope we don't have to put up with this kind of junk all season!

In article <002251w.5.734117130@axe.acadiau.ca> 002251w@axe.acadiau.ca (JASON WALTER WORKS) writes:
>    The N.Y.Yankees, are now one game closer to the A.L.East pennant.  They 
>clobbered Cleveland, 9-1, on a fine pitching performance by Key, and two 
>homeruns by Tartabull(first M.L.baseball to go out this season), and a three 

How many home runs by Tartabull?  Just 1, right, you must be thinking
of Dean Palmer or Juan Gonzalez (both of Texas) who each had 2 homers.

>run homer by Nokes.  For all of you who didn't pick Boggs in your pools, 
>tough break, he had a couple hits, and drove in a couple runs(with many more 

I don't know how many to follow, but he was 1 for 4.

> GO YANKS., Mattingly for g.glove, and MVP, and Abbot for Cy Young.

Spare us, please!",baseball
"From: monack@helium.gas.uug.arizona.edu (david n monack)
Subject: Re: ESPN Tonight
Organization: University of Arizona - Tucson, Arizona
Lines: 17

In <1qkj1kINN3g1@master.cs.rose-hulman.edu> swartzjh@RoseVC.Rose-Hulman.Edu writes:

>Has anyone heard what game ESPN is showing tonight.  They said they will
>show whatever game means the most playoff-wise. I would assume this would
>be the Blues-Tampa game or the Minnesota-Red Wings game...  Anyone heard for
>sure???

>		Jeff Swartz

I heard it will be the Minnesota-Detroit game. Don't know the time
though.

Dave

--
David Monack        e-mail: monack@gas.uug.arizona.edu
""Love is the delusion that one woman differs from another."" H.L. Mencken",hockey
"Subject: Let it be Known
From: <ISSBTL@BYUVM.BITNET>
Organization: Brigham Young University
Lines: 10

I would like to make everyone aware that in winning the NL West the Atlanta
Braves did not lead wire-to-wire.  Through games of 4/14/93 the Houston
Astros are percentage points ahead of the ""unbeatable"" Braves.


Go Astros!!!!!

Byron T. Lee
A Native Texan
Stuck in Utah",baseball
"From: mmb@lamar.ColoState.EDU (Michael Burger)
Subject: More TV Info
Distribution: na
Nntp-Posting-Host: lamar.acns.colostate.edu
Organization: Colorado State University, Fort Collins, CO  80523
Lines: 36

United States Coverage:
Sunday April 18
  N.J./N.Y.I. at Pittsburgh - 1:00 EDT to Eastern Time Zone
  ABC - Gary Thorne and Bill Clement

  St. Louis at Chicago - 12:00 CDT and 11:00 MDT - to Central/Mountain Zones
  ABC - Mike Emerick and Jim Schoenfeld

  Los Angeles at Calgary - 12:00 PDT and 11:00 ADT - to Pacific/Alaskan Zones
  ABC - Al Michaels and John Davidson

Tuesday, April 20
  N.J./N.Y.I. at Pittsburgh - 7:30 EDT Nationwide
  ESPN - Gary Thorne and Bill Clement

Thursday, April 22 and Saturday April 24
  To Be Announced - 7:30 EDT Nationwide
  ESPN - To Be Announced


Canadian Coverage:

Sunday, April 18
  Buffalo at Boston - 7:30 EDT Nationwide
  TSN - ???

Tuesday, April 20
  N.J.D./N.Y. at Pittsburgh - 7:30 EDT Nationwide
  TSN - ???

Wednesday, April 21
  St. Louis at Chicago - 8:30 EDT Nationwide
  TSN - ???",hockey
"From: fierkelab@bchm.biochem.duke.edu (Eric Roush)
Subject: Re: Players Rushed to Majors
Organization: Biochemistry
Lines: 35
Nntp-Posting-Host: bruchner.biochem.duke.edu

In article <93122@hydra.gatech.EDU> re4@prism.gatech.EDU (RUSSELL EARNEST)
writes:
>In article <1993Apr15.145753.21557@holos0.uucp>, lbr@holos0.uucp (Len Reed)
writes:
>> In article <C5Hq3o.G4p@tss.com> hanson@tss.com (Hanson Loo) writes:

>> >Didn't Bob Horner go straight from Arizona State Univ.
>> >to the Atlanta Braves? I remember he had one great
>> >month hitting dingers and then the next I heard
>> >he was in Japan.

>> A month?  Well, he did have a short career--compared to what one might
>> have expected for such a highly touted prospect--due to being injury prone,
>> overweight, and having no work ethic.  But he certainly did not
>> suffer from being rushed to the bigs.


>Sorry Len, this is exactly how he suffered from being rushed to the bigs.
>Being overweight and having no work ethic, leading to being injury prone with
>nothing to loose, might have been corrected in Richmond.  (Did you intend a 
>smiley after your comment?)


If I remember correctly (Which is always in doubt), Horner's signing
with the Braves was contingent on starting in Atlanta.  I think
he could have gone back to Arizona St. for one more year if he hadn't
signed.  Anyhow, the Braves did try to send him to Richmond once;
it lead to a week-long walkout.  Methinks Horner had no work ethic
before he was drafted, and minor league play wouldn't have helped.
But his raw talent would have gotten him into the ML, and it did
keep him there for a while, until he started falling on his wrists.



Eric (too lazy to update his sig) Roush",baseball
"From: rvpst2+@pitt.edu (Richard V Polinski)
Subject: Re: Winning Streaks
Organization: University of Pittsburgh
Lines: 24

In article <93105.053748RAP115@psuvm.psu.edu> RAP115@psuvm.psu.edu (Robbie Po) writes:
 
>
>      The Penguins 18 game unbeaten streak carries over to next season.
>Meaning, if they start the season with another 18 game unbeaten streak, they
>will have eclipsed the Flyers record.  Right now, the Penguins are on an 11
>game winning streak, as streaks carry over from one year to another.

Hmmmm, I'm not sure this is true.  According to Mike Lang and good old
Stagie, along with the rest of the TV crews in pittsburgh, they 
winning streak could have stopped because it is a regular season mark.
I would think this would also hold with an unbeaten streak for regular
season games.

However, you are right that the playoff streak does carry over from
last year.  And with 1 more win, I believe they tie an Edmonton record
(but don't quote me on that one).
>-------------------------------------------------------------------------
>** Robbie Po **          PGH PENGUINS!!!    ""It won't be easy, but it
>Contact for the '93-'94  '91 STANLEY CUP    will have greater rewards.
>Penn State Lady Lions    '92 CHAMPIONS      Mountains and Valleys are
>rap115@psuvm.psu.edu     11 STRAIGHT WINS!  better than nothing at all!""",hockey
"From: smorris@venus.lerc.nasa.gov (Ron Morris )
Subject: Murray as GM  (was: Wings will win
Organization: NASA Lewis Research Center
Lines: 37
Distribution: world
NNTP-Posting-Host: venus.lerc.nasa.gov
News-Software: VAX/VMS VNEWS 1.41    

In article <1993Apr19.204348.8254@sol.UVic.CA>, gballent@hudson.UVic.CA writes...
> 
>In article 735249453@vela.acs.oakland.edu, ragraca@vela.acs.oakland.edu (Randy A. Graca) writes:
> 
>>are predicting).  Although I think Bryan Murray is probably the best GM
>>I have ever seen in hockey
> 
>How do you figure that??  When Bryan Murray took over the Wings they were
>a pretty good team that was contending for the Stanley Cup but looked
>unlikely to win it.  Now they are a pretty good team that is contending for
>the Stanley Cup but looks unlikely to win it.  A truly great GM would
>have been able to make the moves to push the team to the upper echelon
>of the NHL and maybe win the Stanley Cup.  A good GM (like Murray) can

I think Murray has done a great job.  He's picked up Ciccarelli,
Sheppard, Ysebaert, Howe, Coffey, and Riendeau (plus some depth players) 
without giving up anything the Wings needed or any of his top prospects.
All of this in three years.  Has anyone done better?

The year before he took over, the Wings didn't even make the playoffs.
There was about a year and a half during Demers' stint that the Wings
did OK, but that was due to Demers' motavational skills and clutch
and grab style.  They didn't have much talent.

Gerald, Murray wasn't responsible for Primeau (although I'm not
ready to admit that's a horrible pick).  They hired him after the
draft (which has never made sense to me).  His first pick was
Lapointe.

Ron 

**********
""And one of my major goals is to leave the next president a new set
of things to worry about.  I'm getting bored reading the same problems
in the paper, decade after decade.  I want people to have to deal
with new problems.""
                    ... President Bill Clinton   2-4-93",hockey
"From: richard@amc.com (Richard Wernick)
Subject: Bruins in the Playoffs
Organization: Applied Microsystems, Redmond, WA
Distribution: na
Lines: 19

Well Bruins fans it's playoff time again.
It looks like the B's have peaked at the right time.
Getting out of the Adams is going to be a cat fight to the end.
After what they did to Montreal and Quebec, these teams will be out for
revenge. If Neely can stay healthy, and both Bourque and Moog stay sharp,
we should get to see Neely finally take out two years of frustration 
on Ulf (I don't fight) Samuelson. I don't agree with fighting in the NHL,
but if there is one guy who deserves to be taken out good, it's him.

This is going to be a good series, Go Bruins!!!!


Rchard
richard@amc.com",hockey
